,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
0,1,10047,Аккумуляторщик,1 - 5
1,2,10122,Аппаратчик воздухоразделения,2 - 6
2,3,10490,Аппаратчик очистки сточных вод,2 - 4
3,4,11078,Аппаратчик химводоочистки,1 - 4
4,5,11144,Аэрографист,2 - 3
5,6,11213,Бортоператор по проверке магистральных трубопроводов,3 - 4
6,7,11289,Бункеровщик,2 - 4
7,8,11394,Варщик смолки,2
8,9,11422,Весовщик,1
9,10,11447,Водитель вездехода,5 - 6
10,11,11453,Водитель погрузчика,2 - 7
11,12,11463,Водитель электро- и автотележки,2 - 4
12,13,11465,Водолаз,4 - 8
13,14,11476,Возчик,1
14,15,11607,Газовщик,2 - 5
15,16,11614,Газогенераторщик,2 - 5
16,17,11622,Газоспасатель,3 - 5
17,18,11646,Генераторщик ацетиленовой установки,2 - 4
18,18.1,,Гидрометрист,6
19,19,11768,Грузчик,1 - 2
20,20,11781,Гуртовщик,2
21,21,11786,Дворник,1
22,22,11802,Дежурный у эскалатора,2 - 4
23,23,11804,Дезактиваторщик,2 - 6
24,24,11806,Дезинфектор,2 - 3
25,25,11827,Дефектоскопист по газовому и жидкостному контролю,2 - 6
26,26,11830,Дефектоскопист по магнитному и ультразвуковому контролю,2 - 6
27,27,11833,Дефектоскопист рентгено-гаммаграфирования,2 - 7
28,28,11856,Дозиметрист,2 - 7
29,29,11997,Заготовитель продуктов и сырья,3
30,30,12212,Заправщик поливомоечных машин,2
31,31,12229,Зарядчик огнетушителей,2 - 3
32,32,12231,Зарядчик противогазовых коробок,3
33,33,12233,Зарядчик холодильных аппаратов,2 - 4
34,34,12269,Зоолаборант серпентария (питомника),3 - 5
35,35,12460,"Изготовитель трафаретов, шкал и плат",1 - 4
36,35.1,,Инструктор-проводник по пешеходному туризму и трекингу,1 - 4
37,35.2,,Инструктор-проводник по альпинизму и горному туризму,
38,35.3,,Инструктор-проводник по лыжам и сноуборду на неподготовленных склонах,
39,35.4,,Инструктор-проводник по водному туризму,
40,35.5,,Инструктор-проводник по велосипедному туризму,
41,35.6,,Инструктор-проводник по спелеотуризму,
42,35.7,,Инструктор-проводник по конному туризму,
43,35.8,,Инструктор-проводник при занятиях туризмом на транспортных средствах,
44,35.9,,Инструктор-проводник по горнолыжному туризму при катании на горных лыжах или сноуборде на подготовленных склонах,
45,36,12571,Испытатель баллонов,3 - 5
46,37,12618,Истопник,1
47,38,12719,Кассир билетный,2 - 3
